Tailcode,TypeCode,Manufacturer,Model,Seats,CabinCrewRequired,StartingPosition
G-DAJC,B767,Boeing,767,326,8,LGW
G-TCCA,B767,Boeing,767,326,8,MAN
G-TCCB,B767,Boeing,767,326,8,BHX
G-JMAA,B757,Boeing,757,280,6,LGW
G-JMAB,B757,Boeing,757,280,6,MAN
G-JMOF,B757,Boeing,757,275,6,BHX
G-JMOG,B760,Boeing,757,275,6,LGW
G-JMOE,B761,Boeing,757,275,6,STN
LY-VEV,A320,Airbus,A320,180,4,BFS
LY-VEP,A320,Airbus,A320,180,4,GLA
LY-VEI,A320,Airbus,A320,180,4,NCL
LY-VEL,A320,Airbus,A320,180,4,STN
LY-VEN,A320,Airbus,A320,180,4,EMA
LY-VEP,A320,Airbus,A320,180,4,CWL
LY-VEF,A320,Airbus,A320,180,4,CWL
YL-LCO,A320,Airbus,A320,180,4,BHX
YL-LCL,A320,Airbus,A320,180,4,BFS
YL-LCS,A320,Airbus,A320,180,4,EMA
YL-LCT,A320,Airbus,A320,180,4,LGW
G-TCAE,A320,Airbus,A320,180,4,MAN
G-NIKO,A321,Airbus,A321,220,5,MAN
G-DHJH,A321,Airbus,A321,220,5,STN
G-TCVA,A321,Airbus,A321,220,5,LGW
G-TCVB,A321,Airbus,A321,220,5,LGW
G-TCVC,A321,Airbus,A321,220,5,STN
G-TCVD,A321,Airbus,A321,220,5,BHX
G-TCDA,A321,Airbus,A321,220,5,LGW
G-TCDB,A321,Airbus,A321,220,5,GLA
G-TCDC,A321,Airbus,A321,220,5,MAN
G-TCDD,A321,Airbus,A321,220,5,STN
G-TCDE,A321,Airbus,A321,220,5,BHX
G-TCDF,A321,Airbus,A321,220,5,NCL
G-TCDH,A321,Airbus,A321,220,5,BFS
G-TCDJ,A321,Airbus,A321,220,5,LGW
G-TCDK,A321,Airbus,A321,220,5,LGW
G-TCDL,A321,Airbus,A321,220,5,LGW
G-TCDM,A321,Airbus,A321,220,5,MAN
G-TCDN,A321,Airbus,A321,220,5,BFS
G-TCDO,A321,Airbus,A321,220,5,NCL
G-TCDP,A321,Airbus,A321,220,5,EMA
G-TCDR,A321,Airbus,A321,220,5,BHX
G-TCDY,A321,Airbus,A321,220,5,MAN
G-TCDZ,A321,Airbus,A321,220,5,MAN
G-TCDX,A321,Airbus,A321,220,5,LGW
G-MLJL,A330,Airbus,A330,322,8,LGW
G-CHTZ,A330,Airbus,A330,313,8,LGW
G-TCXB,A330,Airbus,A330,322,8,MAN
G-TCXC,A330,Airbus,A330,322,8,BHX
